,qry_id,repeat_id,matching_repeat,matching_class,reference_length,merged_qrystart,merged_qryend,mergedfraglength,perc_div,perc_del,perc_insert,Gene,isoform
1,NM_001200064.1,TE_00003340,+,__ClassII_DNA_hAT_nMITE,3607,3330,3827,498,17.5,9.2,5.5,"NM_001200064.1 Ictalurus punctatus NLR family member X1 (nlrx1), mRNA",nlrx1
2,NM_001200067.1,TE_00002960,+,__ClassII_DNA_TcMar_nMITE,2549,3511,3979,469,16.5,3.2,6.8,"NM_001200067.1 Ictalurus punctatus nucleotide binding oligomerization domain containing 1 (nod1), mRNA",nod1
3,NM_001200074.1,TE_00001980,+,__ClassII_DNA_TcMar_nMITE,1624,2772,2919,148,27.4,9.7,0.8,"NM_001200074.1 Ictalurus punctatus estrogen receptor 1 (esr1), mRNA",esr1
4,NM_001200074.1,TE_00001646,C,__ClassI_LTR_Gypsy,4634,4279,4564,286,27.6,4.9,14.9,"NM_001200074.1 Ictalurus punctatus estrogen receptor 1 (esr1), mRNA",esr1
5,NM_001200074.1,TE_00003617,C,__ClassII_DNA_TcMar_nMITE,2739,3151,3293,143,22.7,2.1,12.3,"NM_001200074.1 Ictalurus punctatus estrogen receptor 1 (esr1), mRNA",esr1
6,NM_001200074.1,TE_00000432,+,__ClassI_LTR_Gypsy,407,5051,5393,343,22.9,12.55,3.15,"NM_001200074.1 Ictalurus punctatus estrogen receptor 1 (esr1), mRNA",esr1
7,NM_001200075.1,TE_00002251,C,__ClassII_DNA_hAT_nMITE,1238,1492,1610,119,5.9,2.5,0,"NM_001200075.1 Ictalurus punctatus testicular 3-beta hydroxysteroid dehydrogenase (LOC100304475), mRNA",LOC100304475
8,NM_001200083.1,TE_00002859,+,__ClassII_DNA_hAT_nMITE,1263,2152,3222,1071,15.3,13,4.1,"NM_001200083.1 Ictalurus punctatus estrogen receptor 2 (esr2), mRNA",esr2
9,NM_001200083.1,TE_00002438,+,__ClassII_DNA_hAT_MITE,462,3074,3249,176,10.6,7.4,3.3,"NM_001200083.1 Ictalurus punctatus estrogen receptor 2 (esr2), mRNA",esr2
10,NM_001200094.1,TE_00002014_LTR,C,__ClassI_LTR_Gypsy,350,415,728,314,30.7,1.6,5.6,"NM_001200094.1 Ictalurus punctatus novel immune-type receptor 2 (nitr2), mRNA",nitr2
11,NM_001200095.1,TE_00001063,C,__ClassI_LTR_Copia,1352,37,843,807,21.1,3,2.75,"NM_001200095.1 Ictalurus punctatus novel immune-type receptor 3 (nitr3), mRNA",nitr3
12,NM_001200095.1,TE_00002014_LTR,C,__ClassI_LTR_Gypsy,350,484,697,214,23.2,1.4,7.4,"NM_001200095.1 Ictalurus punctatus novel immune-type receptor 3 (nitr3), mRNA",nitr3
13,NM_001200096.1,TE_00002014_LTR,C,__ClassI_LTR_Gypsy,350,449,715,267,25.3,3,5.4,"NM_001200096.1 Ictalurus punctatus novel immune-type receptor 4 (nitr4), mRNA",nitr4
14,NM_001200097.1,TE_00001063,C,__ClassI_LTR_Copia,1352,1,405,405,4.5,24.2,0.7,"NM_001200097.1 Ictalurus punctatus novel immune-type receptor 5 (nitr5), mRNA",nitr5
15,NM_001200098.1,TE_00001063,C,__ClassI_LTR_Copia,1352,1,405,405,2.2,24.2,0.7,"NM_001200098.1 Ictalurus punctatus novel immune-type receptor 7 (nitr7), mRNA",nitr7
16,NM_001200099.1,TE_00001063,C,__ClassI_LTR_Copia,1352,1,621,621,1.65,12.1,0.35,"NM_001200099.1 Ictalurus punctatus novel immune-type receptor 10 (nitr10), mRNA",nitr10
17,NM_001200100.1,TE_00003108,C,__ClassII_DNA_hAT_nMITE,3935,2439,2574,136,18.8,0,2.3,"NM_001200100.1 Ictalurus punctatus natural resistance-associated macrophage protein large transcript (LOC100304514), mRNA",LOC100304514
18,NM_001200100.1,TE_00003565,C,__ClassII_DNA_hAT_nMITE,4558,2559,2762,204,17.7,6.9,2.8,"NM_001200100.1 Ictalurus punctatus natural resistance-associated macrophage protein large transcript (LOC100304514), mRNA",LOC100304514
19,NM_001200100.1,TE_00003565,+,__ClassII_DNA_hAT_nMITE,4558,2239,2352,114,18.7,5.3,1.7,"NM_001200100.1 Ictalurus punctatus natural resistance-associated macrophage protein large transcript (LOC100304514), mRNA",LOC100304514
20,NM_001200106.1,TE_00001420,C,__ClassII_DNA_TcMar_nMITE,4027,764,866,103,5.9,0,1,"NM_001200106.1 Ictalurus punctatus ribosomal protein L5 (rpl5), mRNA",rpl5
