,qry_id,repeat_id,matching_repeat,matching_class,reference_length,merged_qrystart,merged_qryend,mergedfraglength,perc_div,perc_del,perc_insert,Gene,isoform
1,NM_001200064.1,Mariner-19_DR,C,DNA/TcMar-Tc1,1227,3407,3671,265,30.2,8.7,1.4,"NM_001200064.1 Ictalurus punctatus NLR family member X1 (nlrx1), mRNA",nlrx1
2,NM_001200064.1,Mariner-19_DR,+,DNA/TcMar-Tc1,1227,3672,3774,103,21.4,0,0,"NM_001200064.1 Ictalurus punctatus NLR family member X1 (nlrx1), mRNA",nlrx1
3,NM_001200067.1,L2-1_DR,C,LINE/L2,4985,3641,4289,649,24.75,0.375,0.9,"NM_001200067.1 Ictalurus punctatus nucleotide binding oligomerization domain containing 1 (nod1), mRNA",nod1
4,NM_001200074.1,EXPANDER1_DR,C,LINE/RTE-BovB,3365,4259,5117,859,28.25,6.05,2.25,"NM_001200074.1 Ictalurus punctatus estrogen receptor 1 (esr1), mRNA",esr1
5,NM_001200083.1,DNA21TA1_DR,+,DNA/TcMar-Tc1,539,2264,2402,139,25.3,17.3,3.2,"NM_001200083.1 Ictalurus punctatus estrogen receptor 2 (esr2), mRNA",esr2
6,NM_001200083.1,hAT-N178B_DR,C,DNA/hAT-Ac,1883,2167,3249,1083,14.25,2.8,0,"NM_001200083.1 Ictalurus punctatus estrogen receptor 2 (esr2), mRNA",esr2
7,NM_001200100.1,Tc1-7_DR,C,DNA/TcMar-Tc1,1646,2252,2760,509,27.15,8.15,0.65,"NM_001200100.1 Ictalurus punctatus natural resistance-associated macrophage protein large transcript (LOC100304514), mRNA",LOC100304514
8,NM_001200178.1,ENSPM-6_DR,C,DNA/CMC-EnSpm,32616,800,881,82,16.1,3.7,9,"NM_001200178.1 Ictalurus punctatus interferon (ifn), mRNA",ifn
9,NM_001200190.1,Mariner-19_DR,+,DNA/TcMar-Tc1,1227,2560,2850,291,24.3,15.1,0.9,"NM_001200190.1 Ictalurus punctatus putative membrane progestin receptor beta (LOC100304624), mRNA",LOC100304624
10,NM_001200190.1,Mariner-19_DR,C,DNA/TcMar-Tc1,1227,2452,2553,102,21.8,0,1,"NM_001200190.1 Ictalurus punctatus putative membrane progestin receptor beta (LOC100304624), mRNA",LOC100304624
11,NM_001200207.1,DNA-8-11B_DR,+,DNA/hAT-Blackjack,1220,2017,2186,170,14.9,4.7,1.1,"NM_001200207.1 Ictalurus punctatus leukocyte immune-type receptor 3 (LOC100304647), mRNA",LOC100304647
12,NM_001200230.1,Crack-7_DR,+,LINE/L2,936,1440,1845,406,26.8,4.1,13.3,"NM_001200230.1 Ictalurus punctatus toll-like receptor 20a (tlr-20a), mRNA",tlr-20a
13,NM_001200275.1,Tc1-7_DR,C,DNA/TcMar-Tc1,1646,1631,2175,545,21.65,7.05,1.1,"NM_001200275.1 Ictalurus punctatus cerebellar degeneration related protein 2 (cdr2), mRNA",cdr2
14,NM_001200476.1,Mariner-19_DR,+,DNA/TcMar-Tc1,1227,375,597,223,22.8,9.4,5.6,"NM_001200476.1 Ictalurus punctatus C-X9-C motif containing 4 (cmc4), mRNA",cmc4
15,NM_001200484.1,L1-39_DR,+,LINE/L1,5033,950,1057,108,15.2,0,14.9,"NM_001200484.1 Ictalurus punctatus RNA polymerase II subunit E (polr2e), mRNA",polr2e
16,NM_001200494.1,Polinton-4_DR,C,DNA/Maverick,20287,909,1003,95,24.5,2.1,1,"NM_001200494.1 Ictalurus punctatus sarcoglycan delta (sgcd), mRNA",sgcd
17,NM_001200522.1,hAT-N159_DR,+,DNA/hAT-Ac,1822,520,627,108,25.3,1.9,12.2,"NM_001200522.1 Ictalurus punctatus yippee like 5 (ypel5), mRNA",ypel5
18,NM_001200530.1,EnSpm-9_DR,C,DNA/CMC-EnSpm,8620,1042,1130,89,21.5,0,11.2,"NM_001200530.1 Ictalurus punctatus coiled-coil-helix-coiled-coil-helix domain containing 3 (chchd3), mRNA",chchd3
19,NM_001200565.1,Tc1-1_DR,+,DNA/TcMar-Tc1,1625,1221,1439,219,18,5.9,0.9,"NM_001200565.1 Ictalurus punctatus transmembrane protein 177 (tmem177), mRNA",tmem177
20,NM_001200633.1,Merlin-1_DR,C,DNA/Merlin,10527,756,892,137,19.2,10.3,2.6,"NM_001200633.1 Ictalurus punctatus GINS complex subunit 3 (gins3), mRNA",gins3
21,NM_001200691.1,SINE2-4_DR,C,SINE/tRNA-V-RTE,371,750,921,172,21.2,2.9,6.6,"NM_001200691.1 Ictalurus punctatus methenyltetrahydrofolate synthetase (mthfs), mRNA",mthfs
22,NM_001200720.1,DNA9TA1_DR,+,DNA/CMC-EnSpm,3333,1011,1090,80,16.4,7.3,3.5,"NM_001200720.1 Ictalurus punctatus trafficking protein particle complex 3 (trappc3), mRNA",trappc3
23,NM_001200767.1,HarbingerN6_DR,+,DNA/PIF-Harbinger,393,1,91,91,27,1.1,2.2,"NM_001200767.1 Ictalurus punctatus transmembrane protein 14c (tm14c), mRNA",tm14c
24,NM_001200805.1,DNA6-6_DR,C,DNA,11281,1,89,89,26.3,1.1,5.9,"NM_001200805.1 Ictalurus punctatus ras homolog family member F, filopodia associated (rhof), mRNA",rhof
25,NM_001200828.1,Polinton-1_DR,C,DNA/Maverick,18485,724,876,153,25.8,2.6,1.3,"NM_001200828.1 Ictalurus punctatus pituitary tumor-transforming gene 1 protein-interacting protein (pttg), mRNA",pttg
26,NM_001200988.1,L1-19_DR,+,LINE/L1,5599,1197,1291,95,17.7,8.4,5.1,"NM_001200988.1 Ictalurus punctatus stomatin (stom), mRNA",stom
27,NM_001201003.1,Zisupton-6_DR,+,DNA/Zisupton,22116,919,1011,93,22.2,5.4,3.2,"NM_001201003.1 Ictalurus punctatus ubiquitin conjugating enzyme E2 I (ube2i), mRNA",ube2i
28,NM_001201003.1,DNA9TA1_DR,C,DNA/CMC-EnSpm,3333,884,967,84,21.4,1.2,0,"NM_001201003.1 Ictalurus punctatus ubiquitin conjugating enzyme E2 I (ube2i), mRNA",ube2i
29,NM_001201012.1,EnSpm-21_DR,+,DNA/CMC-EnSpm,9150,661,777,117,23.4,2.6,5.3,"NM_001201012.1 Ictalurus punctatus transmembrane protein 179b (t179b), mRNA",t179b
30,NM_001201020.1,hAT-30N1_DR,C,DNA/hAT-Ac,2033,68,151,84,21.7,2.4,1.2,"NM_001201020.1 Ictalurus punctatus hairy and enhancer of split 6 (Drosophila) (hes6), mRNA","c""Drosophila"", ""hes6"""
31,NM_001201021.1,Tx1-18_DR,+,LINE/L1-Tx1,5224,847,950,104,17.9,11.5,3.6,"NM_001201021.1 Ictalurus punctatus ependymin-1 (epd1), mRNA",epd1
32,NM_001201087.1,Mariner-N13_DR,C,DNA/TcMar-Tc1,1141,938,1121,184,18.3,9.7,1.05,"NM_001201087.1 Ictalurus punctatus sepiapterin reductase (spr), mRNA",spr
33,NM_001201088.1,TC1DR3,C,DNA/TcMar-Tc1,1225,1040,1124,85,24.7,10.6,0,"NM_001201088.1 Ictalurus punctatus nicolin 1 (nicn1), mRNA",nicn1
34,NM_001201120.1,TZF28B,C,DNA/TcMar-Tc1,1614,517,648,132,15.2,0,0,"NM_001201120.1 Ictalurus punctatus heat shock protein beta-11 (hsb11), mRNA",hsb11
