"","repeat_id","qry_id","matching_repeat","matching_class","reference_length","merged_qrystart","merged_qryend","mergedfraglength","perc_div","perc_del","perc_insert","Gene","isoform"
"1","Mariner-12_EL","TRINITY_DN46018_c0_g1_i1","+","DNA/TcMar-Tc1",1600,34,128,95,29.8,2.1,1,"TRINITY_DN46018_c0_g1","1"
"2","Mariner-12_EL","TRINITY_DN17192_c0_g3_i1","C","DNA/TcMar-Tc1",1600,389,532,144,29.2,10.4,0,"TRINITY_DN17192_c0_g3","1"
"3","Mariner-12_EL","TRINITY_DN46625_c0_g1_i1","+","DNA/TcMar-Tc1",1600,57,218,162,25.8,3.1,9.2,"TRINITY_DN46625_c0_g1","1"
"4","Mariner-17_Cory","TRINITY_DN8800_c0_g1_i1","+","Unspecified",1600,1,203,203,3.5,1,0,"TRINITY_DN8800_c0_g1","1"
"5","Mariner-17_Cory","TRINITY_DN23898_c0_g3_i1","C","Unspecified",1600,22,133,112,0,0,0,"TRINITY_DN23898_c0_g3","1"
"6","Mariner-17_Cory","TRINITY_DN23003_c0_g1_i1","C","Unspecified",1600,406,510,105,10.6,2.9,0.9,"TRINITY_DN23003_c0_g1","1"
"7","Mariner-17_Cory","TRINITY_DN23734_c0_g2_i1","+","Unspecified",1600,1,233,233,3,3.9,0,"TRINITY_DN23734_c0_g2","1"
"8","Mariner-17_Cory","TRINITY_DN23734_c0_g1_i1","+","Unspecified",1600,1,234,234,3.9,5.1,0,"TRINITY_DN23734_c0_g1","1"
"9","Mariner-17_Cory","TRINITY_DN26406_c0_g1_i1","+","Unspecified",1600,61,405,345,14.5,1.4,2.3,"TRINITY_DN26406_c0_g1","1"
"10","Mariner-17_Cory","TRINITY_DN8800_c0_g2_i1","+","Unspecified",1600,1,203,203,2.5,1,0,"TRINITY_DN8800_c0_g2","1"
"11","Mariner-17_Cory","TRINITY_DN24634_c2_g2_i1","+","Unspecified",1600,9,475,467,4.2,3,0.8,"TRINITY_DN24634_c2_g2","1"
"12","Mariner-17_Cory","TRINITY_DN50103_c0_g1_i1","C","Unspecified",1600,25,271,247,31.5,5.7,1.2,"TRINITY_DN50103_c0_g1","1"
"13","TE_00000016","TRINITY_DN55048_c0_g1_i1","C","__ClassII_DNA_TcMar_MITE",197,119,216,98,8.6,0,5.4,"TRINITY_DN55048_c0_g1","1"
"14","TE_00000023","TRINITY_DN34239_c0_g1_i1","+","__ClassII_DNA_TcMar_MITE",194,74,225,152,13.3,7.9,1.2,"TRINITY_DN34239_c0_g1","1"
"15","TE_00000037","TRINITY_DN6812_c0_g3_i1","+","__ClassII_DNA_TcMar_MITE",185,161,266,106,13.6,0.9,2.9,"TRINITY_DN6812_c0_g3","1"
"16","TE_00000037","TRINITY_DN6812_c0_g1_i1","+","__ClassII_DNA_TcMar_MITE",185,161,266,106,13.6,0.9,2.9,"TRINITY_DN6812_c0_g1","1"
"17","TE_00000037","TRINITY_DN6812_c0_g2_i1","+","__ClassII_DNA_TcMar_MITE",185,161,266,106,13.6,0.9,2.9,"TRINITY_DN6812_c0_g2","1"
"18","TE_00000038","TRINITY_DN16654_c0_g1_i1","+","__ClassII_DNA_TcMar_MITE",129,13,103,91,14.4,0,8.3,"TRINITY_DN16654_c0_g1","1"
"19","TE_00000038","TRINITY_DN38258_c0_g1_i1","+","__ClassII_DNA_TcMar_MITE",129,86,170,85,6,0,1.2,"TRINITY_DN38258_c0_g1","1"
"20","TE_00000042","TRINITY_DN51789_c0_g1_i1","C","__ClassII_DNA_TcMar_MITE",372,9,219,211,17.1,6.2,0.5,"TRINITY_DN51789_c0_g1","1"
"21","TE_00000052","TRINITY_DN17273_c0_g1_i1","C","__ClassII_DNA_TcMar_MITE",170,309,389,81,18.2,0,5.2,"TRINITY_DN17273_c0_g1","1"
"22","TE_00000052","TRINITY_DN35232_c0_g1_i1","C","__ClassII_DNA_TcMar_MITE",170,19,154,136,11.9,16.2,1.3,"TRINITY_DN35232_c0_g1","1"
"23","TE_00000059","TRINITY_DN37482_c0_g1_i1","C","__ClassII_DNA_TcMar_MITE",236,377,500,124,19.6,15.3,1.4,"TRINITY_DN37482_c0_g1","1"
"24","TE_00000066","TRINITY_DN57623_c0_g1_i1","C","__ClassII_DNA_TcMar_MITE",143,1,80,80,6.3,2.5,1.2,"TRINITY_DN57623_c0_g1","1"
"25","TE_00000066","TRINITY_DN44888_c0_g1_i1","+","__ClassII_DNA_TcMar_MITE",143,111,190,80,17.2,0,12.7,"TRINITY_DN44888_c0_g1","1"
"26","TE_00000066","TRINITY_DN9932_c0_g1_i1","C","__ClassII_DNA_TcMar_MITE",143,23,119,97,10.5,0,2.1,"TRINITY_DN9932_c0_g1","1"
"27","TE_00000066","TRINITY_DN23782_c0_g1_i1","+","__ClassII_DNA_TcMar_MITE",143,1578,1718,141,13.7,0,1.4,"TRINITY_DN23782_c0_g1","1"
"28","TE_00000070","TRINITY_DN18885_c0_g3_i1","+","__ClassII_DNA_TcMar_MITE",172,408,529,122,24.6,0,3.4,"TRINITY_DN18885_c0_g3","1"
"29","TE_00000070","TRINITY_DN24404_c12_g1_i1","C","__ClassII_DNA_TcMar_MITE",172,5,115,111,7.5,0,3.7,"TRINITY_DN24404_c12_g1","1"
"30","TE_00000070","TRINITY_DN24311_c2_g1_i2","+","__ClassII_DNA_TcMar_MITE",172,355,457,103,21.5,1.9,5,"TRINITY_DN24311_c2_g1","2"
"31","TE_00000070","TRINITY_DN18885_c0_g1_i1","+","__ClassII_DNA_TcMar_MITE",172,404,525,122,24.6,0,3.4,"TRINITY_DN18885_c0_g1","1"
