"","repeat_id","qry_id","matching_repeat","matching_class","reference_length","merged_qrystart","merged_qryend","mergedfraglength","perc_div","perc_del","perc_insert","Gene","isoform"
"1","ACROBAT2","TR16572_c0_g1_i1","+","DNA/PIF",781,41,133,93,29,2.1,0,"TR16572_c0_g1","1"
"2","ACROBAT2","TR33461_c0_g1_i1","C","DNA/PIF",781,123,212,90,35.6,0,0,"TR33461_c0_g1","1"
"3","BEL-38-I_DR","TR43383_c0_g1_i1","C","LTR/Pao",6551,3,510,508,29.2,11.6,2.9,"TR43383_c0_g1","1"
"4","BEL-39_DRe-I","TR7488_c0_g1_i1","+","LTR/Pao",6948,225,307,83,20.7,19.3,1,"TR7488_c0_g1","1"
"5","BEL-39_DRe-I","TR15845_c0_g1_i1","+","LTR/Pao",6948,130,270,141,23.7,2.3,1.4,"TR15845_c0_g1","1"
"6","BEL-41_DRe-I","TR13061_c0_g1_i1","+","LTR/Pao",7033,584,740,157,21.3,11.5,1.2,"TR13061_c0_g1","1"
"7","BEL-43_DRe-I","TR26147_c0_g1_i1","C","LTR/Pao",6640,113,334,222,33.5,3.1,3.1,"TR26147_c0_g1","1"
"8","BEL-44_DRe-I","TR14715_c0_g1_i1","+","LTR/Pao",6382,99,316,218,30.9,0.9,0.5,"TR14715_c0_g1","1"
"9","BEL-57_DRe-I","TR20194_c0_g1_i2","C","LTR/Pao",5847,15,1295,1281,31.6,3.6,3.1,"TR20194_c0_g1","2"
"10","BEL-60_DRe-I","TR28267_c0_g1_i1","+","LTR/Pao",5782,1,225,225,33.8,0,0,"TR28267_c0_g1","1"
"11","BEL-60_DRe-I","TR40894_c0_g1_i1","+","LTR/Pao",5782,21,306,286,27.5,0.7,0.7,"TR40894_c0_g1","1"
"12","BEL-60_DRe-I","TR58453_c0_g2_i1","C","LTR/Pao",5782,3,412,410,29.1,4.2,13.6,"TR58453_c0_g2","1"
"13","BEL-60_DRe-I","TR14927_c1_g1_i1","C","LTR/Pao",5782,17,569,553,30.55,2.65,2.1,"TR14927_c1_g1","1"
"14","BEL-60_DRe-I","TR6266_c0_g1_i1","+","LTR/Pao",5782,56,509,454,29.8,0.5,0.3,"TR6266_c0_g1","1"
"15","BEL-60_DRe-I","TR14927_c0_g1_i1","C","LTR/Pao",5782,1,329,329,36,0.6,0.5,"TR14927_c0_g1","1"
"16","BEL-60_DRe-I","TR58453_c1_g1_i1","+","LTR/Pao",5782,36,309,274,16.9,1.55,1.55,"TR58453_c1_g1","1"
"17","BEL-60_DRe-I","TR58453_c0_g1_i1","C","LTR/Pao",5782,3,412,410,29.4,4.2,13.6,"TR58453_c0_g1","1"
"18","BEL-60_DRe-I","TR15808_c0_g1_i1","+","LTR/Pao",5782,1,299,299,25.8,0,0.3,"TR15808_c0_g1","1"
"19","BEL-61_DRe-I","TR18974_c0_g1_i1","+","LTR/Pao",6702,304,432,129,25.6,0.8,3.2,"TR18974_c0_g1","1"
"20","BEL-61_DRe-I","TR20185_c0_g1_i1","+","LTR/Pao",6702,93,1447,1355,33.3,2.5,2.7,"TR20185_c0_g1","1"
"21","BEL-63_DRe-I","TR22382_c12_g1_i1","+","LTR/Pao",6782,175,323,149,25.4,2.7,1.3,"TR22382_c12_g1","1"
"22","BEL-63_DRe-I","TR13176_c0_g1_i1","C","LTR/Pao",6782,51,202,152,28,4.8,3.7,"TR13176_c0_g1","1"
"23","BEL-63_DRe-I","TR22382_c12_g3_i1","+","LTR/Pao",6782,133,281,149,25.4,2.7,1.3,"TR22382_c12_g3","1"
"24","BEL-66_DR-I","TR55991_c0_g1_i1","+","LTR/Pao",5811,2,388,387,30,4.1,2.5,"TR55991_c0_g1","1"
"25","BEL-66_DR-I","TR7452_c1_g1_i1","C","LTR/Pao",5811,2,301,300,29.3,2.3,3.4,"TR7452_c1_g1","1"
"26","BEL-66_DR-I","TR32512_c0_g1_i1","C","LTR/Pao",5811,43,623,581,27.8,2.3,2.1,"TR32512_c0_g1","1"
"27","BEL-66_DR-I","TR10462_c0_g1_i1","C","LTR/Pao",5811,67,1766,1700,29.4,2.9,3.1,"TR10462_c0_g1","1"
"28","BEL19-I_DR","TR765_c0_g1_i1","+","LTR/Pao",5894,13,231,219,28.9,0,0.5,"TR765_c0_g1","1"
"29","BEL23-I_DR","TR20194_c0_g1_i1","C","LTR/Pao",5940,2,258,257,28.2,0.6,0.8,"TR20194_c0_g1","1"
"30","BEL29-I_DR","TR3832_c0_g2_i1","C","LTR/Pao",6439,258,1082,825,33.3,7.3,1.2,"TR3832_c0_g2","1"
