"","repeat_id","qry_id","matching_repeat","matching_class","reference_length","merged_qrystart","merged_qryend","mergedfraglength","perc_div","perc_del","perc_insert","Gene","isoform"
"1","BEL-66_DR-I","TRINITY_DN49009_c0_g1_i1","C","LTR/Pao",5811,296,387,92,19.8,1.1,17.7,"TRINITY_DN49009_c0_g1","1"
"2","BEL2-I_DR","TRINITY_DN29983_c0_g1_i1","C","LTR/Pao",5897,93,277,185,30.7,2.7,3.3,"TRINITY_DN29983_c0_g1","1"
"3","BEL29-I_DR","TRINITY_DN43863_c0_g1_i1","C","LTR/Pao",6439,8,583,576,30.55,3.35,3.25,"TRINITY_DN43863_c0_g1","1"
"4","Copia-19_DR-I","TRINITY_DN8409_c0_g1_i1","C","LTR/Gypsy?",1849,17,260,244,27.1,7.8,9.1,"TRINITY_DN8409_c0_g1","1"
"5","Copia-6-I_DR","TRINITY_DN19397_c1_g1_i1","+","LTR/Gypsy?",2273,408,530,123,36.6,0,0,"TRINITY_DN19397_c1_g1","1"
"6","Copia-6-I_DR","TRINITY_DN19397_c0_g2_i1","C","LTR/Gypsy?",2273,15,235,221,40.3,0,0,"TRINITY_DN19397_c0_g2","1"
"7","Copia-7-I_DR","TRINITY_DN5324_c0_g1_i1","C","LTR/Gypsy?",3222,48,330,283,33.1,0,9.3,"TRINITY_DN5324_c0_g1","1"
"8","Copia-7-I_DR","TRINITY_DN12502_c0_g2_i1","+","LTR/Gypsy?",3222,2,197,196,29.7,8.2,3.9,"TRINITY_DN12502_c0_g2","1"
"9","Copia4-I_DR","TRINITY_DN37270_c0_g1_i1","+","LTR/Copia",4207,2,213,212,28.3,5.7,0,"TRINITY_DN37270_c0_g1","1"
"10","CR1-24_DR","TRINITY_DN33098_c0_g1_i1","+","LINE/L2",2247,67,187,121,24.8,1.6,3.4,"TRINITY_DN33098_c0_g1","1"
"11","CR1-37_DR","TRINITY_DN45648_c0_g1_i1","C","LINE/L2",2717,47,156,110,23.6,6.4,3.5,"TRINITY_DN45648_c0_g1","1"
"12","CryptonA-1_DR","TRINITY_DN23726_c2_g1_i1","C","DNA/Crypton-A",2367,302,1185,884,36.6,2.7,4.7,"TRINITY_DN23726_c2_g1","1"
"13","CryptonV-1_DR","TRINITY_DN31358_c0_g1_i1","C","DNA/Crypton-V",17873,259,362,104,19.7,1.9,7.1,"TRINITY_DN31358_c0_g1","1"
"14","CryptonV-1_DR","TRINITY_DN23272_c0_g2_i2","+","DNA/Crypton-V",17873,9,208,200,28.8,7.5,4.4,"TRINITY_DN23272_c0_g2","2"
"15","CryptonV-1_DR","TRINITY_DN44248_c0_g1_i1","C","DNA/Crypton-V",17873,107,258,152,29.9,2.6,3.3,"TRINITY_DN44248_c0_g1","1"
"16","CryptonV-1_DR","TRINITY_DN29401_c0_g1_i1","+","DNA/Crypton-V",17873,156,241,86,12.5,4.7,7.1,"TRINITY_DN29401_c0_g1","1"
"17","CryptonV-1_DR","TRINITY_DN21349_c0_g1_i2","C","DNA/Crypton-V",17873,511,617,107,24.7,9.3,5.4,"TRINITY_DN21349_c0_g1","2"
"18","CryptonV-1_DR","TRINITY_DN42981_c0_g1_i1","C","DNA/Crypton-V",17873,199,283,85,13.6,1.2,4.9,"TRINITY_DN42981_c0_g1","1"
"19","CryptonV-1_DR","TRINITY_DN24609_c4_g1_i2","C","DNA/Crypton-V",17873,171,342,172,32.6,0,0,"TRINITY_DN24609_c4_g1","2"
"20","CryptonV-1_DR","TRINITY_DN40272_c0_g1_i1","C","DNA/Crypton-V",17873,35,292,258,27.6,7.1,0.3,"TRINITY_DN40272_c0_g1","1"
"21","CryptonV-1_DR","TRINITY_DN33490_c0_g1_i1","C","DNA/Crypton-V",17873,113,196,84,19.7,8.3,3.4,"TRINITY_DN33490_c0_g1","1"
"22","CryptonV-1_DR","TRINITY_DN31914_c0_g1_i1","+","DNA/Crypton-V",17873,1,86,86,12.5,4.7,7.1,"TRINITY_DN31914_c0_g1","1"
"23","CryptonV-2_DR","TRINITY_DN31978_c0_g1_i1","+","DNA/Crypton-V",21811,64,143,80,16.9,0,3.9,"TRINITY_DN31978_c0_g1","1"
"24","CryptonV-2_DR","TRINITY_DN37264_c0_g2_i1","C","DNA/Crypton-V",21811,5,132,128,11.7,6.7,0,"TRINITY_DN37264_c0_g2","1"
"25","CryptonV-2_DR","TRINITY_DN21338_c3_g2_i1","+","DNA/Crypton-V",21811,185,267,83,19.5,6,1.1,"TRINITY_DN21338_c3_g2","1"
