"","repeat_id","qry_id","matching_repeat","matching_class","reference_length","merged_qrystart","merged_qryend","mergedfraglength","perc_div","perc_del","perc_insert","Gene","isoform"
"1","Mariner-12_EL","TRINITY_DN21610_c0_g1_i1","+","DNA/TcMar-Tc1",1600,1,170,170,30.7,3.5,4.1,"TRINITY_DN21610_c0_g1","1"
"2","Mariner-12_EL","TRINITY_DN4695_c0_g1_i1","C","DNA/TcMar-Tc1",1600,25,146,122,23.8,3,0.8,"TRINITY_DN4695_c0_g1","1"
"3","Mariner-12_EL","TRINITY_DN18110_c0_g1_i1","C","DNA/TcMar-Tc1",1600,713,879,167,31.3,7.8,0.6,"TRINITY_DN18110_c0_g1","1"
"4","Mariner-12_EL","TRINITY_DN34293_c0_g1_i1","+","DNA/TcMar-Tc1",1600,20,117,98,36.7,0,0,"TRINITY_DN34293_c0_g1","1"
"5","Mariner-17_Cory","TRINITY_DN15354_c0_g1_i1","+","Unspecified",1600,5,245,241,5.4,0,0,"TRINITY_DN15354_c0_g1","1"
"6","Mariner-17_Cory","TRINITY_DN18293_c0_g1_i1","+","Unspecified",1600,1,134,134,9,0,0,"TRINITY_DN18293_c0_g1","1"
"7","Mariner-17_Cory","TRINITY_DN13331_c0_g1_i1","+","Unspecified",1600,2,85,84,9.5,0,0,"TRINITY_DN13331_c0_g1","1"
"8","Mariner-17_Cory","TRINITY_DN21401_c12_g6_i1","C","Unspecified",1600,1,234,234,0,0.4,0,"TRINITY_DN21401_c12_g6","1"
"9","Mariner-17_Cory","TRINITY_DN18605_c1_g2_i1","+","Unspecified",1600,1,203,203,3.5,1,0,"TRINITY_DN18605_c1_g2","1"
"10","Mariner-17_Cory","TRINITY_DN21401_c12_g2_i1","+","Unspecified",1600,1,290,290,0.7,4.5,0,"TRINITY_DN21401_c12_g2","1"
"11","Mariner-17_Cory","TRINITY_DN21401_c12_g7_i1","+","Unspecified",1600,1,226,226,3.1,12.4,0,"TRINITY_DN21401_c12_g7","1"
"12","Mariner-17_Cory","TRINITY_DN12816_c0_g1_i1","C","Unspecified",1600,1,212,212,3.3,6.1,0,"TRINITY_DN12816_c0_g1","1"
"13","Mariner-17_Cory","TRINITY_DN14153_c0_g1_i1","+","Unspecified",1600,1,216,216,3.2,0,0,"TRINITY_DN14153_c0_g1","1"
"14","Mariner-17_Cory","TRINITY_DN12556_c2_g1_i1","C","Unspecified",1600,980,1089,110,9.3,0,2.8,"TRINITY_DN12556_c2_g1","1"
"15","Mariner-17_Cory","TRINITY_DN14137_c0_g3_i1","+","Unspecified",1600,2,207,206,3.35,0,0,"TRINITY_DN14137_c0_g3","1"
"16","Mariner-17_Cory","TRINITY_DN25593_c0_g1_i1","C","Unspecified",1600,130,227,98,6.1,4.1,0,"TRINITY_DN25593_c0_g1","1"
"17","Mariner-17_Cory","TRINITY_DN19246_c1_g2_i1","+","Unspecified",1600,1,213,213,3.8,6.6,0.4,"TRINITY_DN19246_c1_g2","1"
"18","Mariner-17_Cory","TRINITY_DN11687_c0_g1_i1","C","Unspecified",1600,2,142,141,5,14.9,0,"TRINITY_DN11687_c0_g1","1"
"19","Mariner-17_Cory","TRINITY_DN8423_c0_g1_i1","+","Unspecified",1600,1,134,134,9,0,0,"TRINITY_DN8423_c0_g1","1"
"20","Mariner-17_Cory","TRINITY_DN9967_c0_g1_i1","C","Unspecified",1600,156,285,130,5.5,0.8,1.6,"TRINITY_DN9967_c0_g1","1"
"21","Mariner-17_Cory","TRINITY_DN12152_c0_g2_i1","C","Unspecified",1600,13,219,207,2.4,1.4,0,"TRINITY_DN12152_c0_g2","1"
"22","Mariner-17_Cory","TRINITY_DN31317_c0_g1_i1","C","Unspecified",1600,183,268,86,9.3,0,0,"TRINITY_DN31317_c0_g1","1"
"23","Mariner-17_Cory","TRINITY_DN21401_c12_g3_i1","+","Unspecified",1600,1,214,214,1.4,5.6,1.4,"TRINITY_DN21401_c12_g3","1"
"24","Mariner-17_Cory","TRINITY_DN21401_c12_g5_i1","+","Unspecified",1600,1,232,232,5.3,6,2.1,"TRINITY_DN21401_c12_g5","1"
"25","Mariner-17_Cory","TRINITY_DN21078_c0_g1_i1","+","Unspecified",1600,1,128,128,3.9,10.2,0,"TRINITY_DN21078_c0_g1","1"
"26","Mariner-17_Cory","TRINITY_DN14033_c0_g2_i1","+","Unspecified",1600,59,251,193,5.2,0,0,"TRINITY_DN14033_c0_g2","1"
"27","Mariner-17_Cory","TRINITY_DN19246_c1_g1_i1","+","Unspecified",1600,1,213,213,7.1,0,1.4,"TRINITY_DN19246_c1_g1","1"
