"","qry_id","repeat_id","matching_repeat","matching_class","reference_length","merged_qrystart","merged_qryend","mergedfraglength","perc_div","perc_del","perc_insert","V1","locus"
"1","NM_001001207.1","L1-11_XT","C","LINE/L1",5741,1363,1492,130,16.5,1.5,2.3,">NM_001001207.1 Xenopus tropicalis oleoyl-ACP hydrolase (olah), mRNA","olah"
"2","NM_001001210.2","XBR_Xt","C","DNA/Kolobok-T2",469,2330,2731,402,16.2,17.7,1.5,">NM_001001210.2 Xenopus tropicalis translocation associated membrane protein 1 (tram1), mRNA","tram1"
"3","NM_001001212.2","HAT1a_Xt","C","DNA/hAT-Tip100",222,2417,2588,172,3.5,4.1,0,">NM_001001212.2 Xenopus tropicalis uncharacterized protein mgc69353 (MGC69353), mRNA","MGC69353"
"4","NM_001001212.2","hAT-N2A_XT","C","DNA/hAT-Ac",1280,1686,2402,717,21.2,1.35,2.4,">NM_001001212.2 Xenopus tropicalis uncharacterized protein mgc69353 (MGC69353), mRNA","MGC69353"
"5","NM_001001212.2","hAT-N15_XT","+","DNA/hAT-Ac",205,2068,2204,137,24.8,8,2.8,">NM_001001212.2 Xenopus tropicalis uncharacterized protein mgc69353 (MGC69353), mRNA","MGC69353"
"6","NM_001001220.1","Harbinger-N3B_XT","+","DNA/PIF-Harbinger",350,1502,1759,258,20.1,3.5,3.5,">NM_001001220.1 Xenopus tropicalis cleavage stimulation factor, 3' pre-RNA, subunit 1 (cstf1), mRNA","cstf1"
"7","NM_001001225.1","Harbinger-N3_XT","C","DNA/PIF-Harbinger",372,983,1168,186,8.1,1.1,0,">NM_001001225.1 Xenopus tropicalis LLP homolog, long-term synaptic facilitation (Aplysia) pseudogene (llph), mRNA","c""Aplysia"", ""llph"""
"8","NM_001001228.1","T2_3_Xt","+","DNA/Kolobok-T2",597,1120,1673,554,7.3,0.5,0.9,">NM_001001228.1 Xenopus tropicalis protease, serine, 29 (prss29), mRNA","prss29"
"9","NM_001001898.1","XBR_Xt","+","DNA/Kolobok-T2",469,1096,1505,410,17.4,5.8,0.5,">NM_001001898.1 Xenopus tropicalis jagunal homolog 1 (jagn1), mRNA","jagn1"
"10","NM_001004788.1","XBR_Xt","+","DNA/Kolobok-T2",469,1303,1744,442,9.1,7,0.8,">NM_001004788.1 Xenopus tropicalis malonyl-CoA-acyl carrier protein transacylase (mcat), mRNA","mcat"
"11","NM_001004798.1","DNA-9-1_XT","+","DNA/hAT-Tip100",1485,1385,1464,80,15.4,2.5,2.5,">NM_001004798.1 Xenopus tropicalis golgi reassembly stacking protein 2 (gorasp2), mRNA","gorasp2"
"12","NM_001004809.1","Kolobok-N11_XT","+","DNA/Kolobok-T2",447,1690,1785,96,12.5,31.2,0,">NM_001004809.1 Xenopus tropicalis ER membrane protein complex subunit 6 (emc6), mRNA","emc6"
"13","NM_001004811.1","Harbinger-N11_XT","C","DNA/PIF-Harbinger",199,859,1057,199,9.1,0.5,0.5,">NM_001004811.1 Xenopus tropicalis CDGSH iron sulfur domain 1 (cisd1), mRNA","cisd1"
"14","NM_001004811.1","DNA1_Xt","C","DNA",166,666,826,161,7.5,2.5,0,">NM_001004811.1 Xenopus tropicalis CDGSH iron sulfur domain 1 (cisd1), mRNA","cisd1"
"15","NM_001004832.3","DNA4_Xt","+","DNA/TcMar-Tigger",658,2065,2587,523,12.05,18.95,1.55,">NM_001004832.3 Xenopus tropicalis selenoprotein I (selenoi), mRNA","selenoi"
"16","NM_001004836.1","XBR_Xt","C","DNA/Kolobok-T2",469,3356,3725,370,16.6,9.5,2,">NM_001004836.1 Xenopus tropicalis stem-loop binding protein (slbp), mRNA","slbp"
"17","NM_001004836.1","Kolobok-N6_XT","C","DNA/Kolobok-T2",451,1763,2030,268,23.1,11.2,6.4,">NM_001004836.1 Xenopus tropicalis stem-loop binding protein (slbp), mRNA","slbp"
"18","NM_001004836.1","Harbinger-N3A_XT","C","DNA/PIF-Harbinger",361,2435,2716,282,20.6,7.5,0.3,">NM_001004836.1 Xenopus tropicalis stem-loop binding protein (slbp), mRNA","slbp"
